user_id,created_at,company,language,activated_at,state
0,"01-01-2013 20:59",5737,english,"01-01-2013 21:01","active"
3,"01-01-2013 18:40",2800,german,"01-01-2013 18:42","active"
4,"01-01-2013 14:37",5110,indian,"01-01-2013 14:39","active"
6,"01-01-2013 18:37",11699,english,"01-01-2013 18:38","active"
7,"01-01-2013 16:19",4765,french,"01-01-2013 16:20","active"
8,"01-01-2013 04:38",2698,french,"01-01-2013 04:40","active"
11,"01-01-2013 08:07",3745,english,"01-01-2013 08:09","active"
13,"02-01-2013 12:27",4025,english,"02-01-2013 12:29","active"
15,"02-01-2013 15:39",4259,english,"02-01-2013 15:41","active"
17,"02-01-2013 10:56",5025,japanese,"02-01-2013 10:57","active"
19,"02-01-2013 09:54",326,english,"02-01-2013 09:55","active"
20,"02-01-2013 09:41",7,italian,"02-01-2013 09:43","active"
21,"02-01-2013 09:29",2606,english,"02-01-2013 09:30","active"
22,"02-01-2013 17:36",545,german,"02-01-2013 17:38","active"
27,"03-01-2013 16:14",6,japanese,"03-01-2013 16:15","active"
30,"03-01-2013 08:28",4148,english,"03-01-2013 08:29","active"
31,"03-01-2013 15:45",39,arabic,"03-01-2013 15:46","active"
33,"03-01-2013 12:16",10768,english,"03-01-2013 12:18","active"
35,"03-01-2013 16:06",1891,english,"03-01-2013 16:07","active"
36,"03-01-2013 11:51",2,english,"03-01-2013 11:53","active"
47,"04-01-2013 10:39",1,indian,"04-01-2013 10:41","active"
49,"05-01-2013 14:33",8727,spanish,"05-01-2013 14:34","active"
50,"05-01-2013 17:41",12526,spanish,"05-01-2013 17:43","active"
52,"06-01-2013 13:35",6,english,"06-01-2013 13:37","active"
54,"06-01-2013 02:52",2,english,"06-01-2013 02:54","active"
55,"06-01-2013 14:35",2233,german,"06-01-2013 14:37","active"
59,"07-01-2013 20:47",2296,chinese,"07-01-2013 20:49","active"
64,"07-01-2013 09:56",9229,english,"07-01-2013 09:57","active"
66,"07-01-2013 15:37",7927,french,"07-01-2013 15:39","active"
67,"07-01-2013 13:46",10818,english,"07-01-2013 13:47","active"
78,"08-01-2013 12:58",1,english,"08-01-2013 13:00","active"
80,"08-01-2013 06:19",925,spanish,"08-01-2013 06:20","active"
83,"09-01-2013 16:40",2343,english,"09-01-2013 16:42","active"
84,"09-01-2013 17:14",9501,english,"09-01-2013 17:16","active"
86,"09-01-2013 13:24",1,indian,"09-01-2013 13:25","active"
87,"09-01-2013 09:54",95,english,"09-01-2013 09:56","active"
90,"09-01-2013 12:27",789,english,"09-01-2013 12:29","active"
92,"09-01-2013 10:45",1,english,"09-01-2013 10:46","active"
97,"10-01-2013 12:32",7578,french,"10-01-2013 12:33","active"
98,"10-01-2013 10:23",9136,portugese,"10-01-2013 10:25","active"
99,"10-01-2013 11:00",7,english,"10-01-2013 11:02","active"
101,"10-01-2013 13:05",5343,french,"10-01-2013 13:07","active"
103,"10-01-2013 13:05",44,portugese,"10-01-2013 13:06","active"
104,"10-01-2013 17:23",4936,english,"10-01-2013 17:25","active"
105,"11-01-2013 13:25",12000,english,"11-01-2013 13:26","active"
106,"11-01-2013 23:23",12473,italian,"11-01-2013 23:25","active"
107,"11-01-2013 12:28",12411,english,"11-01-2013 12:30","active"
108,"11-01-2013 16:36",8,japanese,"11-01-2013 16:37","active"
111,"11-01-2013 16:17",2,arabic,"11-01-2013 16:18","active"
113,"11-01-2013 10:52",457,german,"11-01-2013 10:54","active"
117,"12-01-2013 16:17",8636,japanese,"12-01-2013 16:19","active"
118,"12-01-2013 15:29",1,english,"12-01-2013 15:31","active"
119,"12-01-2013 15:47",5,english,"12-01-2013 15:48","active"
120,"13-01-2013 16:00",376,japanese,"13-01-2013 16:02","active"
121,"13-01-2013 15:04",9770,chinese,"13-01-2013 15:05","active"
123,"14-01-2013 15:12",219,spanish,"14-01-2013 15:14","active"
124,"14-01-2013 20:22",9039,german,"14-01-2013 20:24","active"
128,"14-01-2013 18:39",2470,russian,"14-01-2013 18:40","active"
129,"14-01-2013 10:08",6,spanish,"14-01-2013 10:10","active"
130,"14-01-2013 10:04",2,german,"14-01-2013 10:05","active"
132,"14-01-2013 09:09",23,portugese,"14-01-2013 09:10","active"
133,"14-01-2013 00:17",101,french,"14-01-2013 00:19","active"
134,"14-01-2013 09:34",1914,japanese,"14-01-2013 09:36","active"
136,"15-01-2013 14:33",11080,spanish,"15-01-2013 14:35","active"
